"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPAGE","55_64","PC_AGE","A","2016",62.46673,
"AUS","EMPAGE","55_64","PC_AGE","A","2017",63.58626,
"AUS","EMPAGE","55_64","PC_AGE","A","2018",63.81186,
"AUS","EMPAGE","55_64","PC_AGE","A","2019",64.47645,
"AUS","EMPAGE","55_64","PC_AGE","A","2020",63.63138,
"AUT","EMPAGE","55_64","PC_AGE","A","2016",49.175,
"AUT","EMPAGE","55_64","PC_AGE","A","2017",51.275,
"AUT","EMPAGE","55_64","PC_AGE","A","2018",53.975,
"AUT","EMPAGE","55_64","PC_AGE","A","2019",54.475,
"AUT","EMPAGE","55_64","PC_AGE","A","2020",54.7,"B"
"BEL","EMPAGE","55_64","PC_AGE","A","2016",45.425,"B"
"BEL","EMPAGE","55_64","PC_AGE","A","2017",48.225,
"BEL","EMPAGE","55_64","PC_AGE","A","2018",50.35,
"BEL","EMPAGE","55_64","PC_AGE","A","2019",52.1,
"BEL","EMPAGE","55_64","PC_AGE","A","2020",53.325,"B"
"CAN","EMPAGE","55_64","PC_AGE","A","2016",60.85915,
"CAN","EMPAGE","55_64","PC_AGE","A","2017",61.39872,
"CAN","EMPAGE","55_64","PC_AGE","A","2018",62.08804,
"CAN","EMPAGE","55_64","PC_AGE","A","2019",62.61113,
"CAN","EMPAGE","55_64","PC_AGE","A","2020",60.41977,
"CZE","EMPAGE","55_64","PC_AGE","A","2016",58.525,
"CZE","EMPAGE","55_64","PC_AGE","A","2017",62.125,
"CZE","EMPAGE","55_64","PC_AGE","A","2018",65.125,
"CZE","EMPAGE","55_64","PC_AGE","A","2019",66.725,
"CZE","EMPAGE","55_64","PC_AGE","A","2020",68.175,"B"
"DNK","EMPAGE","55_64","PC_AGE","A","2016",65.825,"B"
"DNK","EMPAGE","55_64","PC_AGE","A","2017",68.225,
"DNK","EMPAGE","55_64","PC_AGE","A","2018",69.175,
"DNK","EMPAGE","55_64","PC_AGE","A","2019",71.3,
"DNK","EMPAGE","55_64","PC_AGE","A","2020",71.425,"B"
"FIN","EMPAGE","55_64","PC_AGE","A","2016",61.4,
"FIN","EMPAGE","55_64","PC_AGE","A","2017",62.55,
"FIN","EMPAGE","55_64","PC_AGE","A","2018",65.425,
"FIN","EMPAGE","55_64","PC_AGE","A","2019",66.775,
"FIN","EMPAGE","55_64","PC_AGE","A","2020",67.475,"B"
"FRA","EMPAGE","55_64","PC_AGE","A","2016",49.85,
"FRA","EMPAGE","55_64","PC_AGE","A","2017",51.3,
"FRA","EMPAGE","55_64","PC_AGE","A","2018",52.275,
"FRA","EMPAGE","55_64","PC_AGE","A","2019",53.125,
"FRA","EMPAGE","55_64","PC_AGE","A","2020",53.825,"B"
"DEU","EMPAGE","55_64","PC_AGE","A","2016",68.575,
"DEU","EMPAGE","55_64","PC_AGE","A","2017",70.15,
"DEU","EMPAGE","55_64","PC_AGE","A","2018",71.425,
"DEU","EMPAGE","55_64","PC_AGE","A","2019",72.675,"B"
"DEU","EMPAGE","55_64","PC_AGE","A","2020",71.77429,"E"
"GRC","EMPAGE","55_64","PC_AGE","A","2016",36.3,
"GRC","EMPAGE","55_64","PC_AGE","A","2017",38.25,
"GRC","EMPAGE","55_64","PC_AGE","A","2018",41.05,
"GRC","EMPAGE","55_64","PC_AGE","A","2019",43.175,
"GRC","EMPAGE","55_64","PC_AGE","A","2020",44.575,"B"
"HUN","EMPAGE","55_64","PC_AGE","A","2016",49.85,
"HUN","EMPAGE","55_64","PC_AGE","A","2017",51.675,
"HUN","EMPAGE","55_64","PC_AGE","A","2018",54.4,
"HUN","EMPAGE","55_64","PC_AGE","A","2019",56.725,
"HUN","EMPAGE","55_64","PC_AGE","A","2020",59.6,"B"
"ISL","EMPAGE","55_64","PC_AGE","A","2016",84.575,
"ISL","EMPAGE","55_64","PC_AGE","A","2017",83.875,
"ISL","EMPAGE","55_64","PC_AGE","A","2018",80.725,
"ISL","EMPAGE","55_64","PC_AGE","A","2019",81.175,
"ISL","EMPAGE","55_64","PC_AGE","A","2020",79.25,"B"
"IRL","EMPAGE","55_64","PC_AGE","A","2016",56.75,
"IRL","EMPAGE","55_64","PC_AGE","A","2017",58.375,"B"
"IRL","EMPAGE","55_64","PC_AGE","A","2018",60.375,
"IRL","EMPAGE","55_64","PC_AGE","A","2019",61.775,
"IRL","EMPAGE","55_64","PC_AGE","A","2020",61.825,"B"
"ITA","EMPAGE","55_64","PC_AGE","A","2016",50.325,
"ITA","EMPAGE","55_64","PC_AGE","A","2017",52.225,
"ITA","EMPAGE","55_64","PC_AGE","A","2018",53.7,
"ITA","EMPAGE","55_64","PC_AGE","A","2019",54.275,
"ITA","EMPAGE","55_64","PC_AGE","A","2020",54.225,"B"
"JPN","EMPAGE","55_64","PC_AGE","A","2016",71.56203,
"JPN","EMPAGE","55_64","PC_AGE","A","2017",73.44222,
"JPN","EMPAGE","55_64","PC_AGE","A","2018",75.26824,
"JPN","EMPAGE","55_64","PC_AGE","A","2019",76.44584,
"JPN","EMPAGE","55_64","PC_AGE","A","2020",76.75693,
"KOR","EMPAGE","55_64","PC_AGE","A","2016",66.16142,
"KOR","EMPAGE","55_64","PC_AGE","A","2017",67.44261,
"KOR","EMPAGE","55_64","PC_AGE","A","2018",66.83384,
"KOR","EMPAGE","55_64","PC_AGE","A","2019",66.86108,
"KOR","EMPAGE","55_64","PC_AGE","A","2020",66.5691,
"LUX","EMPAGE","55_64","PC_AGE","A","2016",39.55,
"LUX","EMPAGE","55_64","PC_AGE","A","2017",39.75,
"LUX","EMPAGE","55_64","PC_AGE","A","2018",40.45,
"LUX","EMPAGE","55_64","PC_AGE","A","2019",43.125,
"LUX","EMPAGE","55_64","PC_AGE","A","2020",44,"B"
"MEX","EMPAGE","55_64","PC_AGE","A","2016",54.94603,
"MEX","EMPAGE","55_64","PC_AGE","A","2017",54.92516,
"MEX","EMPAGE","55_64","PC_AGE","A","2018",55.33916,
"MEX","EMPAGE","55_64","PC_AGE","A","2019",55.98238,
