"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",116606,
"AUS","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",118119,
"AUS","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",6445,
"AUS","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",6430,
"AUS","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",524,
"AUS","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",523,
"AUT","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",18115,
"AUT","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",18560,
"AUT","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",18356,"B"
"AUT","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",2817,
"AUT","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",2763,
"AUT","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",2724,"B"
"AUT","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",2173,
"AUT","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",2212,
"AUT","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",2063,"B"
"AUT","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",471,
"AUT","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",474,
"AUT","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",490,"B"
"AUT","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",1461,
"AUT","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",1468,
"AUT","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",1391,"B"
"BEL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",28359,
"BEL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2017",30965,
"BEL","ENTERPRISE","1_9_EMPLOYED","NBR","A","2018",27047,"B"
"BEL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2016",2308,
"BEL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2017",2393,
"BEL","ENTERPRISE","10_19_EMPLOYED","NBR","A","2018",2032,"B"
"BEL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2016",2007,
"BEL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2017",1957,
"BEL","ENTERPRISE","20_49_EMPLOYED","NBR","A","2018",1734,"B"
"BEL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2016",307,
"BEL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2017",316,
"BEL","ENTERPRISE","250MORE_EMPLOYED","NBR","A","2018",324,"B"
"BEL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2016",1151,
"BEL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2017",1170,
"BEL","ENTERPRISE","50_249_EMPLOYED","NBR","A","2018",1086,"B"
"CAN","ENTERPRISE","1_9_EMPLOYED","NBR","A","2016",31300,
