"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMP","TOT","PC_WKGPOP","A","2016",72.4315,
"AUS","EMP","TOT","PC_WKGPOP","A","2017",72.98936,
"AUS","EMP","TOT","PC_WKGPOP","A","2018",73.76588,
"AUS","EMP","TOT","PC_WKGPOP","A","2019",74.32264,
"AUT","EMP","TOT","PC_WKGPOP","A","2016",71.55,
"AUT","EMP","TOT","PC_WKGPOP","A","2017",72.2,
"AUT","EMP","TOT","PC_WKGPOP","A","2018",73.025,
"AUT","EMP","TOT","PC_WKGPOP","A","2019",73.525,
"BEL","EMP","TOT","PC_WKGPOP","A","2016",62.3,"B"
"BEL","EMP","TOT","PC_WKGPOP","A","2017",63.125,
"BEL","EMP","TOT","PC_WKGPOP","A","2018",64.45,
"BEL","EMP","TOT","PC_WKGPOP","A","2019",65.3,
"CAN","EMP","TOT","PC_WKGPOP","A","2016",72.33334,
"CAN","EMP","TOT","PC_WKGPOP","A","2017",73.15833,
"CAN","EMP","TOT","PC_WKGPOP","A","2018",73.53333,
"CAN","EMP","TOT","PC_WKGPOP","A","2019",74.15,
"CZE","EMP","TOT","PC_WKGPOP","A","2016",71.95,
"CZE","EMP","TOT","PC_WKGPOP","A","2017",73.625,
"CZE","EMP","TOT","PC_WKGPOP","A","2018",74.825,
"CZE","EMP","TOT","PC_WKGPOP","A","2019",75.125,
"DNK","EMP","TOT","PC_WKGPOP","A","2016",72.675,"B"
"DNK","EMP","TOT","PC_WKGPOP","A","2017",73.225,
"DNK","EMP","TOT","PC_WKGPOP","A","2018",74.125,
"DNK","EMP","TOT","PC_WKGPOP","A","2019",75,
"FIN","EMP","TOT","PC_WKGPOP","A","2016",69.075,
"FIN","EMP","TOT","PC_WKGPOP","A","2017",69.975,
"FIN","EMP","TOT","PC_WKGPOP","A","2018",72.075,
"FIN","EMP","TOT","PC_WKGPOP","A","2019",72.95,
"FRA","EMP","TOT","PC_WKGPOP","A","2016",64.175,
"FRA","EMP","TOT","PC_WKGPOP","A","2017",64.725,
"FRA","EMP","TOT","PC_WKGPOP","A","2018",65.3,
"FRA","EMP","TOT","PC_WKGPOP","A","2019",65.575,
"DEU","EMP","TOT","PC_WKGPOP","A","2016",74.65,
"DEU","EMP","TOT","PC_WKGPOP","A","2017",75.25,
"DEU","EMP","TOT","PC_WKGPOP","A","2018",75.9,
"DEU","EMP","TOT","PC_WKGPOP","A","2019",76.7,"B"
"GRC","EMP","TOT","PC_WKGPOP","A","2016",52.025,
"GRC","EMP","TOT","PC_WKGPOP","A","2017",53.5,
"GRC","EMP","TOT","PC_WKGPOP","A","2018",54.9,
"GRC","EMP","TOT","PC_WKGPOP","A","2019",56.5,
"HUN","EMP","TOT","PC_WKGPOP","A","2016",66.525,
"HUN","EMP","TOT","PC_WKGPOP","A","2017",68.175,
"HUN","EMP","TOT","PC_WKGPOP","A","2018",69.25,
"HUN","EMP","TOT","PC_WKGPOP","A","2019",70.125,
"ISL","EMP","TOT","PC_WKGPOP","A","2016",86.525,
"ISL","EMP","TOT","PC_WKGPOP","A","2017",86.1,
"ISL","EMP","TOT","PC_WKGPOP","A","2018",85.075,
"ISL","EMP","TOT","PC_WKGPOP","A","2019",84.1,
"IRL","EMP","TOT","PC_WKGPOP","A","2016",66.425,
"IRL","EMP","TOT","PC_WKGPOP","A","2017",67.65,"B"
"IRL","EMP","TOT","PC_WKGPOP","A","2018",68.65,
"IRL","EMP","TOT","PC_WKGPOP","A","2019",69.55,
"ITA","EMP","TOT","PC_WKGPOP","A","2016",57.25,
"ITA","EMP","TOT","PC_WKGPOP","A","2017",57.975,
"ITA","EMP","TOT","PC_WKGPOP","A","2018",58.525,
"ITA","EMP","TOT","PC_WKGPOP","A","2019",59.05,
"JPN","EMP","TOT","PC_WKGPOP","A","2016",74.44646,
"JPN","EMP","TOT","PC_WKGPOP","A","2017",75.32627,
"JPN","EMP","TOT","PC_WKGPOP","A","2018",76.88937,
"JPN","EMP","TOT","PC_WKGPOP","A","2019",77.73985,
"KOR","EMP","TOT","PC_WKGPOP","A","2016",66.07566,
"KOR","EMP","TOT","PC_WKGPOP","A","2017",66.62926,
"KOR","EMP","TOT","PC_WKGPOP","A","2018",66.61324,
"KOR","EMP","TOT","PC_WKGPOP","A","2019",66.82268,
