"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","2016",1215297.461,
"AUS","GDP","TOT","MLN_USD","A","2017",1251095.561,
"AUS","GDP","TOT","MLN_USD","A","2018",1326164.114,
"AUS","GDP","TOT","MLN_USD","A","2019",1346385.112,
"AUT","GDP","TOT","MLN_USD","A","2016",460282.647,
"AUT","GDP","TOT","MLN_USD","A","2017",476563.995,
"AUT","GDP","TOT","MLN_USD","A","2018",504354.99,
"AUT","GDP","TOT","MLN_USD","A","2019",520804.077,
"BEL","GDP","TOT","MLN_USD","A","2016",550677.566,
"BEL","GDP","TOT","MLN_USD","A","2017",573788.528,
"BEL","GDP","TOT","MLN_USD","A","2018",601777.448,
"BEL","GDP","TOT","MLN_USD","A","2019",628555.777,
"CAN","GDP","TOT","MLN_USD","A","2016",1678093.396,
"CAN","GDP","TOT","MLN_USD","A","2017",1765763.154,
"CAN","GDP","TOT","MLN_USD","A","2018",1862154.108,
"CAN","GDP","TOT","MLN_USD","A","2019",1904502.917,
"CZE","GDP","TOT","MLN_USD","A","2016",381420.335,
"CZE","GDP","TOT","MLN_USD","A","2017",411327.86,
"CZE","GDP","TOT","MLN_USD","A","2018",437252.426,
"CZE","GDP","TOT","MLN_USD","A","2019",462266.205,
"DNK","GDP","TOT","MLN_USD","A","2016",297719.06,
"DNK","GDP","TOT","MLN_USD","A","2017",319130.165,
"DNK","GDP","TOT","MLN_USD","A","2018",332882.716,
"DNK","GDP","TOT","MLN_USD","A","2019",348263.937,
"FIN","GDP","TOT","MLN_USD","A","2016",246928.493,
"FIN","GDP","TOT","MLN_USD","A","2017",262026.563,
"FIN","GDP","TOT","MLN_USD","A","2018",274158.014,
"FIN","GDP","TOT","MLN_USD","A","2019",284480.553,
"FRA","GDP","TOT","MLN_USD","A","2016",2864105.631,
"FRA","GDP","TOT","MLN_USD","A","2017",2983010.673,
"FRA","GDP","TOT","MLN_USD","A","2018",3128336.847,
"FRA","GDP","TOT","MLN_USD","A","2019",3336886.582,"P"
"DEU","GDP","TOT","MLN_USD","A","2016",4165169.905,
"DEU","GDP","TOT","MLN_USD","A","2017",4386729.188,
"DEU","GDP","TOT","MLN_USD","A","2018",4571615.756,"P"
"DEU","GDP","TOT","MLN_USD","A","2019",4676884.224,"P"
"GRC","GDP","TOT","MLN_USD","A","2016",296029.545,
"GRC","GDP","TOT","MLN_USD","A","2017",308068.164,
"GRC","GDP","TOT","MLN_USD","A","2018",318561.979,"P"
"GRC","GDP","TOT","MLN_USD","A","2019",330966.206,"P"
"HUN","GDP","TOT","MLN_USD","A","2016",273925.72,
"HUN","GDP","TOT","MLN_USD","A","2017",288403.654,
"HUN","GDP","TOT","MLN_USD","A","2018",311175.568,
"HUN","GDP","TOT","MLN_USD","A","2019",331796.894,"P"
"ISL","GDP","TOT","MLN_USD","A","2016",17939.411,
"ISL","GDP","TOT","MLN_USD","A","2017",19106.258,
"ISL","GDP","TOT","MLN_USD","A","2018",20569.786,
"ISL","GDP","TOT","MLN_USD","A","2019",21681.631,
"IRL","GDP","TOT","MLN_USD","A","2016",339999.931,
"IRL","GDP","TOT","MLN_USD","A","2017",373770.633,
"IRL","GDP","TOT","MLN_USD","A","2018",412094.277,
"IRL","GDP","TOT","MLN_USD","A","2019",441873.65,
"ITA","GDP","TOT","MLN_USD","A","2016",2420672.141,
"ITA","GDP","TOT","MLN_USD","A","2017",2517184.468,
"ITA","GDP","TOT","MLN_USD","A","2018",2605604.586,
"ITA","GDP","TOT","MLN_USD","A","2019",2678904.139,
"JPN","GDP","TOT","MLN_USD","A","2016",5158900.414,
"JPN","GDP","TOT","MLN_USD","A","2017",5262254.967,
"JPN","GDP","TOT","MLN_USD","A","2018",5363113.046,
"JPN","GDP","TOT","MLN_USD","A","2019",5416302.286,
"KOR","GDP","TOT","MLN_USD","A","2016",2026967.822,
"KOR","GDP","TOT","MLN_USD","A","2017",2103651.26,
"KOR","GDP","TOT","MLN_USD","A","2018",2192613.181,
"KOR","GDP","TOT","MLN_USD","A","2019",2209423.793,"P"
"LUX","GDP","TOT","MLN_USD","A","2016",64406.168,
"LUX","GDP","TOT","MLN_USD","A","2017",66973.383,
"LUX","GDP","TOT","MLN_USD","A","2018",70914.212,
"LUX","GDP","TOT","MLN_USD","A","2019",74996.716,
"MEX","GDP","TOT","MLN_USD","A","2016",2383253.082,
"MEX","GDP","TOT","MLN_USD","A","2017",2460766.096,
"MEX","GDP","TOT","MLN_USD","A","2018",2556350.973,"P"
"MEX","GDP","TOT","MLN_USD","A","2019",2608649.816,"P"
"NLD","GDP","TOT","MLN_USD","A","2016",890488.555,
"NLD","GDP","TOT","MLN_USD","A","2017",943739.619,
"NLD","GDP","TOT","MLN_USD","A","2018",997729.784,
"NLD","GDP","TOT","MLN_USD","A","2019",1035058.851,
"NZL","GDP","TOT","MLN_USD","A","2016",188355.645,
"NZL","GDP","TOT","MLN_USD","A","2017",203544.585,
"NZL","GDP","TOT","MLN_USD","A","2018",215287.748,
"NZL","GDP","TOT","MLN_USD","A","2019",223650.279,
"NOR","GDP","TOT","MLN_USD","A","2016",308522.085,
"NOR","GDP","TOT","MLN_USD","A","2017",337993.785,
"NOR","GDP","TOT","MLN_USD","A","2018",370296.235,
"NOR","GDP","TOT","MLN_USD","A","2019",365502.326,
"POL","GDP","TOT","MLN_USD","A","2016",1075392.661,
"POL","GDP","TOT","MLN_USD","A","2017",1141694.015,
"POL","GDP","TOT","MLN_USD","A","2018",1214376.603,
"POL","GDP","TOT","MLN_USD","A","2019",1299683.796,
"PRT","GDP","TOT","MLN_USD","A","2016",326364.379,
"PRT","GDP","TOT","MLN_USD","A","2017",340370.325,
"PRT","GDP","TOT","MLN_USD","A","2018",359232.261,
"PRT","GDP","TOT","MLN_USD","A","2019",379273.761,"P"
"SVK","GDP","TOT","MLN_USD","A","2016",161074.014,
"SVK","GDP","TOT","MLN_USD","A","2017",163600.251,
"SVK","GDP","TOT","MLN_USD","A","2018",171600.747,
"SVK","GDP","TOT","MLN_USD","A","2019",177571.553,
"ESP","GDP","TOT","MLN_USD","A","2016",1733213.64,
"ESP","GDP","TOT","MLN_USD","A","2017",1841779.72,
"ESP","GDP","TOT","MLN_USD","A","2018",1904060.525,
"ESP","GDP","TOT","MLN_USD","A","2019",1987720.589,"P"
"SWE","GDP","TOT","MLN_USD","A","2016",500423.665,
"SWE","GDP","TOT","MLN_USD","A","2017",522476.825,
"SWE","GDP","TOT","MLN_USD","A","2018",544916.384,
"SWE","GDP","TOT","MLN_USD","A","2019",568811.735,
"CHE","GDP","TOT","MLN_USD","A","2016",570267.342,
"CHE","GDP","TOT","MLN_USD","A","2017",584052.298,
"CHE","GDP","TOT","MLN_USD","A","2018",610234.706,
"CHE","GDP","TOT","MLN_USD","A","2019",627228.422,
"TUR","GDP","TOT","MLN_USD","A","2016",2116398.303,
