"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","2016",50237.794429,
"AUS","GDP","TOT","USD_CAP","A","2017",50853.615427,
"AUS","GDP","TOT","USD_CAP","A","2018",53083.298192,
"AUS","GDP","TOT","USD_CAP","A","2019",53078.965373,
"AUT","GDP","TOT","USD_CAP","A","2016",52665.087457,
"AUT","GDP","TOT","USD_CAP","A","2017",54185.337013,
"AUT","GDP","TOT","USD_CAP","A","2018",57068.534815,
"AUT","GDP","TOT","USD_CAP","A","2019",58664.718719,
"BEL","GDP","TOT","USD_CAP","A","2016",48599.202676,
"BEL","GDP","TOT","USD_CAP","A","2017",50442.947518,
"BEL","GDP","TOT","USD_CAP","A","2018",52662.767819,
"BEL","GDP","TOT","USD_CAP","A","2019",54709.354773,
"CAN","GDP","TOT","USD_CAP","A","2016",46472.368771,
"CAN","GDP","TOT","USD_CAP","A","2017",48316.716527,
"CAN","GDP","TOT","USD_CAP","A","2018",50239.988278,
"CAN","GDP","TOT","USD_CAP","A","2019",50660.587438,
"CZE","GDP","TOT","USD_CAP","A","2016",36101.285601,
"CZE","GDP","TOT","USD_CAP","A","2017",38842.896268,
"CZE","GDP","TOT","USD_CAP","A","2018",41147.631528,
"CZE","GDP","TOT","USD_CAP","A","2019",43326.662998,
"DNK","GDP","TOT","USD_CAP","A","2016",51967.020438,
"DNK","GDP","TOT","USD_CAP","A","2017",55356.49009,
"DNK","GDP","TOT","USD_CAP","A","2018",57453.005832,
"DNK","GDP","TOT","USD_CAP","A","2019",59870.025325,
"FIN","GDP","TOT","USD_CAP","A","2016",44934.488245,
"FIN","GDP","TOT","USD_CAP","A","2017",47570.270354,
"FIN","GDP","TOT","USD_CAP","A","2018",49700.52107,
"FIN","GDP","TOT","USD_CAP","A","2019",51521.398254,
"FRA","GDP","TOT","USD_CAP","A","2016",42855.944562,
"FRA","GDP","TOT","USD_CAP","A","2017",44445.59677,
"FRA","GDP","TOT","USD_CAP","A","2018",46419.314271,
"FRA","GDP","TOT","USD_CAP","A","2019",49344.708712,"P"
"DEU","GDP","TOT","USD_CAP","A","2016",50579.483717,
"DEU","GDP","TOT","USD_CAP","A","2017",53071.478374,
"DEU","GDP","TOT","USD_CAP","A","2018",55142.158063,"P"
"DEU","GDP","TOT","USD_CAP","A","2019",56284.936441,"P"
"GRC","GDP","TOT","USD_CAP","A","2016",27471.218206,
"GRC","GDP","TOT","USD_CAP","A","2017",28644.977147,
"GRC","GDP","TOT","USD_CAP","A","2018",29680.902369,"P"
"GRC","GDP","TOT","USD_CAP","A","2019",30869.249859,"P"
"HUN","GDP","TOT","USD_CAP","A","2016",27911.664733,
"HUN","GDP","TOT","USD_CAP","A","2017",29465.126306,
"HUN","GDP","TOT","USD_CAP","A","2018",31831.981048,
"HUN","GDP","TOT","USD_CAP","A","2019",33956.821868,"P"
"ISL","GDP","TOT","USD_CAP","A","2016",53486.615773,
"ISL","GDP","TOT","USD_CAP","A","2017",55638.491978,
"ISL","GDP","TOT","USD_CAP","A","2018",58320.911643,
"ISL","GDP","TOT","USD_CAP","A","2019",60126.541783,
"IRL","GDP","TOT","USD_CAP","A","2016",71594.095685,
"IRL","GDP","TOT","USD_CAP","A","2017",77832.00899,
"IRL","GDP","TOT","USD_CAP","A","2018",84781.721928,
"IRL","GDP","TOT","USD_CAP","A","2019",89680.969173,
"ITA","GDP","TOT","USD_CAP","A","2016",39926.966169,
"ITA","GDP","TOT","USD_CAP","A","2017",41581.131252,
"ITA","GDP","TOT","USD_CAP","A","2018",43097.264517,
"ITA","GDP","TOT","USD_CAP","A","2019",44397.556124,
"JPN","GDP","TOT","USD_CAP","A","2016",40642.704531,
"JPN","GDP","TOT","USD_CAP","A","2017",41531.221619,
"JPN","GDP","TOT","USD_CAP","A","2018",42415.262579,
"JPN","GDP","TOT","USD_CAP","A","2019",42938.81628,"E"
"KOR","GDP","TOT","USD_CAP","A","2016",39575.302078,
"KOR","GDP","TOT","USD_CAP","A","2017",40957.347064,
"KOR","GDP","TOT","USD_CAP","A","2018",42486.739807,
"KOR","GDP","TOT","USD_CAP","A","2019",42728.031736,"P"
"LUX","GDP","TOT","USD_CAP","A","2016",110260.934439,
"LUX","GDP","TOT","USD_CAP","A","2017",112187.731906,
"LUX","GDP","TOT","USD_CAP","A","2018",116480.803842,
"LUX","GDP","TOT","USD_CAP","A","2019",120670.500099,
"MEX","GDP","TOT","USD_CAP","A","2016",19516.145022,
"MEX","GDP","TOT","USD_CAP","A","2017",19947.197691,
"MEX","GDP","TOT","USD_CAP","A","2018",20518.580821,"P"
"MEX","GDP","TOT","USD_CAP","A","2019",20739.308737,"P"
"NLD","GDP","TOT","USD_CAP","A","2016",52289.404292,
"NLD","GDP","TOT","USD_CAP","A","2017",55089.58143,
"NLD","GDP","TOT","USD_CAP","A","2018",57899.824961,
"NLD","GDP","TOT","USD_CAP","A","2019",59674.76803,"P"
"NZL","GDP","TOT","USD_CAP","A","2016",39719.042939,
"NZL","GDP","TOT","USD_CAP","A","2017",42074.660571,
"NZL","GDP","TOT","USD_CAP","A","2018",43738.114648,
"NZL","GDP","TOT","USD_CAP","A","2019",44612.279404,
"NOR","GDP","TOT","USD_CAP","A","2016",58923.240139,
"NOR","GDP","TOT","USD_CAP","A","2017",64050.366694,
"NOR","GDP","TOT","USD_CAP","A","2018",69709.381608,
"NOR","GDP","TOT","USD_CAP","A","2019",68343.740792,
"POL","GDP","TOT","USD_CAP","A","2016",27985.340009,
"POL","GDP","TOT","USD_CAP","A","2017",29714.590984,
"POL","GDP","TOT","USD_CAP","A","2018",31613.688164,
"POL","GDP","TOT","USD_CAP","A","2019",33858.276341,
"PRT","GDP","TOT","USD_CAP","A","2016",31607.610185,
"PRT","GDP","TOT","USD_CAP","A","2017",33044.70015,
"PRT","GDP","TOT","USD_CAP","A","2018",34931.85988,
"PRT","GDP","TOT","USD_CAP","A","2019",36871.738281,"P"
"SVK","GDP","TOT","USD_CAP","A","2016",29659.331169,
"SVK","GDP","TOT","USD_CAP","A","2017",30082.484108,
"SVK","GDP","TOT","USD_CAP","A","2018",31509.439604,
"SVK","GDP","TOT","USD_CAP","A","2019",32562.554072,
"ESP","GDP","TOT","USD_CAP","A","2016",37313.634913,
"ESP","GDP","TOT","USD_CAP","A","2017",39580.188366,
"ESP","GDP","TOT","USD_CAP","A","2018",40747.03298,
"ESP","GDP","TOT","USD_CAP","A","2019",42197.335356,"P"
